DOW,Wholesale,TOA,Total Quantity,TOS,AGE,QTY,FP,FUP1000,PROFITS,Predicted,Total sold,Total profits,Qty left,Flower
3,50,0,0,875,125,0.25,30,120,17.5,0,0,0,0,Rose
3,50,0,0,883,133,0.15,20,133.3,12.5,0,0,0,0,Rose
3,50,0,0,917,167,0.25,30,120,17.5,0,0,0,0,Rose
3,50,0,0,967,217,0.075,10,133.3,6.25,0,0,0,0,Rose
3,50,0,0,992,242,0.125,15,120,8.75,0,0,0,0,Rose
3,50,0,0,1033,283,0.075,10,133.3,6.25,0,0,0,0,Rose
3,50,0,0,1058,308,1,100,100,50,0,0,0,0,Rose
3,50,0,0,1117,367,0.125,15,120,8.75,0,0,0,0,Rose
3,50,0,0,1150,400,0.125,15,120,8.75,0,0,0,0,Rose
3,50,0,0,1158,408,0.25,30,120,17.5,0,0,0,0,Rose
3,50,0,0,1183,433,0.25,30,120,17.5,0,0,0,0,Rose
3,50,0,0,1183,433,0.075,10,133.3,6.25,0,0,0,0,Rose
3,50,0,0,1217,467,0.05,5,100,2.5,0,0,0,0,Rose
3,50,0,0,1250,500,1.5,70,46.7,-5,0,0,0,0,Rose
3,50,0,0,1283,533,0.125,15,120,8.75,0,0,0,0,Rose
3,50,0,0,1325,575,0.25,30,120,17.5,0,0,0,0,Rose
3,50,0,0,1375,625,1,100,100,50,0,0,0,0,Rose
3,50,0,0,1392,642,0.15,20,133.3,12.5,0,0,0,0,Rose
3,50,0,0,1433,683,0.75,80,106.7,42.5,0,0,0,0,Rose
3,50,0,0,1450,700,0.05,5,100,2.5,0,0,0,0,Rose
3,50,0,0,1483,733,0.075,10,133.3,6.25,0,0,0,0,Rose
3,50,0,0,1633,883,0.125,15,120,8.75,0,0,0,0,Rose
3,50,0,0,1725,975,0.075,10,133.3,6.25,0,0,0,0,Rose
3,50,0,0,1733,983,2,200,100,100,0,0,0,0,Rose
3,50,0,0,933,183,0.25,20,80,7.5,0,0,0,0,Rose
4,50,0,0,942,192,0.075,10,133.3,6.25,0,0,0,0,Rose
4,50,0,0,958,208,0.25,30,120,17.5,0,0,0,0,Rose
4,50,0,0,958,208,0.075,10,133.3,6.25,0,0,0,0,Rose
4,50,0,0,958,208,0.075,10,133.3,6.25,0,0,0,0,Rose
4,50,0,0,967,217,0.125,15,120,8.75,0,0,0,0,Rose
4,50,0,0,1033,283,0.125,15,120,8.75,0,0,0,0,Rose
4,50,0,0,1075,325,0.25,30,120,17.5,0,0,0,0,Rose
4,50,0,0,1150,400,0.75,70,93.3,32.5,0,0,0,0,Rose
4,50,0,0,1158,408,0.15,20,133.3,12.5,0,0,0,0,Rose
4,50,0,0,1183,433,0.25,30,120,17.5,0,0,0,0,Rose
4,50,0,0,1233,483,0.075,10,133.3,6.25,0,0,0,0,Rose
4,50,0,0,1275,525,0.5,60,120,35,0,0,0,0,Rose
4,50,0,0,1400,650,0.15,20,133.3,12.5,0,0,0,0,Rose
4,50,0,0,1475,725,0.125,15,120,8.75,0,0,0,0,Rose
4,50,0,0,1483,733,0.075,10,133.3,6.25,0,0,0,0,Rose
4,50,0,0,1550,800,0.5,60,120,35,0,0,0,0,Rose
4,50,0,0,1575,825,0.125,15,120,8.75,0,0,0,0,Rose
4,50,0,0,1617,867,0.075,10,133.3,6.25,0,0,0,0,Rose
4,50,0,0,1650,900,0.125,15,120,8.75,0,0,0,0,Rose
4,50,0,0,1725,975,2,190,95,90,0,0,0,0,Rose
4,50,0,0,1733,983,0.15,20,133.3,12.5,0,0,0,0,Rose
4,50,0,0,1758,1008,0.25,30,120,17.5,0,0,0,0,Rose
4,50,0,0,1758,1008,0.075,10,133.3,6.25,0,0,0,0,Rose
4,50,0,0,1767,1017,0.125,15,120,8.75,0,0,0,0,Rose
6,80,0,0,850,100,0.125,20,160,10,0,0,0,0,Rose
6,80,0,0,850,100,0.075,13,173.3,7,0,0,0,0,Rose
6,80,0,0,867,117,0.15,20,133.3,8,0,0,0,0,Rose
6,80,0,0,875,125,0.25,30,120,10,0,0,0,0,Rose
6,80,0,0,883,133,0.125,20,160,10,0,0,0,0,Rose
6,80,0,0,892,142,0.25,30,120,10,0,0,0,0,Rose
6,80,0,0,892,142,0.25,30,120,10,0,0,0,0,Rose
6,80,0,0,983,233,0.25,30,120,10,0,0,0,0,Rose
6,80,0,0,1025,275,0.15,20,133.3,8,0,0,0,0,Rose
6,80,0,0,1050,300,0.075,13,173.3,7,0,0,0,0,Rose
6,80,0,0,1083,333,0.5,70,140,30,0,0,0,0,Rose
6,80,0,0,1125,375,0.5,50,100,10,0,0,0,0,Rose
6,80,0,0,1175,425,0.125,20,160,10,0,0,0,0,Rose
6,80,0,0,1200,450,0.25,30,120,10,0,0,0,0,Rose
6,80,0,0,1275,525,0.25,40,160,20,0,0,0,0,Rose
1,70,0,0,1400,650,0.075,14,186.7,8.75,0,0,0,0,Rose
1,70,0,0,1625,875,0.25,30,120,12.5,0,0,0,0,Rose
1,70,0,0,1650,900,0.075,14,186.7,8.75,0,0,0,0,Rose
1,70,0,0,1725,975,1,120,120,50,0,0,0,0,Rose
1,70,0,0,1733,983,0.075,14,186.7,8.75,0,0,0,0,Rose
1,70,0,0,1750,1000,0.125,21,168,12.25,0,0,0,0,Rose
1,70,0,0,1750,1000,0.125,21,168,12.25,0,0,0,0,Rose
1,70,0,0,1758,1008,0.125,21,168,12.25,0,0,0,0,Rose
1,70,0,0,1800,1050,0.5,60,120,25,0,0,0,0,Rose
1,70,0,0,1825,1075,0.125,21,168,12.25,0,0,0,0,Rose
1,70,0,0,1833,1083,0.15,20,133.3,9.5,0,0,0,0,Rose
1,70,0,0,1850,1100,0.25,30,120,12.5,0,0,0,0,Rose
1,70,0,0,1875,1125,0.25,30,120,12.5,0,0,0,0,Rose
1,70,0,0,1925,1175,0.5,70,140,35,0,0,0,0,Rose
1,70,0,0,1933,1183,0.15,20,133.3,9.5,0,0,0,0,Rose
1,70,0,0,1933,1183,0.125,21,168,12.25,0,0,0,0,Rose
1,70,0,0,1950,1200,0.125,21,168,12.25,0,0,0,0,Rose
1,70,0,0,2025,1275,0.125,14,112,5.25,0,0,0,0,Rose
1,70,0,0,2033,1283,1,120,120,50,0,0,0,0,Rose
1,70,0,0,2067,1317,0.5,56,112,21,0,0,0,0,Rose
1,70,0,0,2075,1325,0.25,35,140,17.5,0,0,0,0,Rose
1,70,0,0,2100,1350,0.25,20,80,2.5,0,0,0,0,Rose
3,80,0,0,750,0,0.125,27,216,17,0,0,0,0,Rose
3,80,0,0,750,0,0.125,27,216,17,0,0,0,0,Rose
3,80,0,0,758,8,0.25,40,160,20,0,0,0,0,Rose
3,80,0,0,767,17,0.075,13,173.3,7,0,0,0,0,Rose
3,80,0,0,775,25,0.5,70,140,30,0,0,0,0,Rose
3,80,0,0,783,33,0.125,20,160,10,0,0,0,0,Rose
3,80,0,0,700,-50,0.15,20,133.3,8,0,0,0,0,Rose
3,80,0,0,825,75,0.25,40,160,20,0,0,0,0,Rose
3,80,0,0,833,83,0.5,80,160,40,0,0,0,0,Rose
